Share of renewables in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Canada,62.39,61.42,61.69,61.73,60.41,61.01,63.11,62.36,60.41,61.19,60.61,58.04,59.89,58.92,58.45,59.44,59.44,60.06,61.30,62.71,61.45,62.28,62.73,63.02,62.81,63.16,66.38
United States,11.96,11.33,10.48,11.00,10.31,11.39,12.20,11.59,10.22,9.63,8.81,7.42,9.20,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.58,15.42
Latin America,66.06,66.13,66.38,67.76,66.69,66.41,66.15,65.06,62.74,61.79,61.72,58.35,58.91,57.81,58.05,58.96,59.33,58.73,57.86,58.36,57.47,58.45,55.81,54.06,53.81,52.95,55.41
Argentina,35.78,30.74,35.13,39.22,42.87,40.35,33.47,39.53,36.52,27.54,33.21,41.84,43.59,37.97,31.69,33.69,37.25,30.06,26.54,29.18,28.77,32.48,29.49,31.68,31.69,29.05,26.14
Brazil,94.50,94.63,94.42,95.25,95.41,94.16,93.56,92.98,92.92,90.04,89.49,84.29,85.74,87.16,86.03,87.12,86.75,88.21,84.27,89.00,84.72,87.12,82.45,76.69,73.08,73.86,81.19
Chile,53.84,70.97,82.69,81.66,74.27,72.41,60.45,62.13,48.17,38.03,48.55,54.26,55.45,50.16,46.90,53.88,55.25,44.16,45.75,48.83,40.20,39.60,36.45,35.67,41.18,43.08,39.08
Colombia,76.38,75.68,68.67,73.25,78.49,76.40,82.99,71.64,69.75,79.86,75.52,74.34,76.50,78.79,81.65,80.17,80.60,81.53,84.01,72.88,72.12,83.47,79.55,74.00,74.25,77.65,82.04
Mexico,24.69,22.39,25.66,25.40,19.02,23.65,24.66,19.96,17.59,20.91,19.80,17.11,15.06,12.13,14.45,15.18,15.32,14.07,17.54,12.95,16.60,14.89,13.79,13.30,17.54,15.17,14.74
Venezuela,62.34,70.33,70.09,68.43,72.01,70.05,71.24,73.36,71.60,75.16,73.75,67.07,64.82,65.84,71.10,73.28,73.90,72.72,72.79,71.89,67.49,70.93,67.41,67.83,68.26,60.95,54.04
Asia,17.49,16.69,15.56,15.86,14.92,15.26,14.18,14.11,14.53,13.68,13.24,14.11,13.31,13.03,13.50,13.55,13.83,13.53,14.84,14.98,15.76,15.30,17.00,17.63,18.98,20.08,21.02
China,20.41,18.47,17.58,18.13,18.09,19.21,17.55,17.51,18.06,16.68,16.64,18.96,17.62,15.04,16.22,16.18,15.59,15.26,17.74,17.86,18.83,16.95,20.12,20.45,22.79,24.51,25.75
India,24.49,22.81,20.75,19.56,21.22,17.26,15.77,16.02,16.70,15.26,13.59,13.21,12.06,13.47,14.48,16.62,17.54,17.86,16.51,15.66,16.04,17.32,15.73,16.85,15.41,14.75,14.95
Indonesia,20.92,20.56,23.84,19.78,15.66,16.46,15.53,10.34,15.77,14.12,15.96,17.47,14.95,13.64,13.61,13.61,12.26,12.90,13.32,13.23,15.85,11.99,11.24,12.34,11.44,10.97,10.89
Japan,12.16,12.86,11.04,12.62,8.93,10.41,10.10,10.94,10.98,10.17,10.07,9.94,9.64,10.98,10.70,9.20,10.23,9.01,9.37,9.73,11.20,12.17,11.88,12.78,14.45,16.93,17.44
Malaysia,17.33,16.60,14.87,14.03,16.69,13.69,10.09,6.69,8.00,11.54,10.06,9.93,7.14,6.44,7.09,6.28,7.17,6.66,7.63,7.01,5.99,6.71,7.38,8.58,9.71,10.36,11.37
South Korea,6.04,4.40,3.86,4.15,2.51,3.12,2.73,2.44,2.83,2.60,1.97,1.95,1.66,2.06,1.68,1.43,1.43,1.40,1.54,1.65,1.80,2.05,2.02,2.38,2.47,2.10,2.29
Taiwan,9.08,5.56,7.92,5.83,7.13,6.67,6.37,6.66,6.86,5.70,5.37,5.52,3.84,4.04,3.86,4.29,4.32,4.52,4.36,4.27,4.20,4.08,4.81,4.95,4.44,4.59,5.43
