Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Japan,882,911,917,926,984,"1,011","1,030","1,055","1,060","1,079","1,100","1,083","1,103","1,093","1,121","1,139","1,140","1,164","1,108","1,075","1,148","1,082","1,064","1,066","1,041","1,015","1,013"
Malaysia,23,27,29,35,39,45,51,58,61,65,69,71,74,78,82,83,90,98,98,116,125,129,134,138,147,151,164
South Korea,105,115,126,145,164,184,205,225,218,238,290,311,332,345,368,389,404,427,446,455,500,523,535,542,551,549,549
Taiwan,90,99,106,115,125,133,142,150,163,169,185,189,199,209,218,227,235,243,238,230,247,252,250,252,260,258,266
Thailand,44,50,57,63,71,80,90,93,90,90,96,102,109,117,126,132,139,143,147,148,160,156,167,170,174,178,180
Pacific,190,193,195,200,204,212,217,222,236,245,253,268,272,267,277,276,281,291,291,297,302,303,300,298,297,302,306
Australia,155,157,160,164,167,173,178,183,195,204,210,225,228,222,230,229,233,243,243,249,253,254,251,250,248,252,257
New Zealand,32,33,33,34,35,36,36,37,38,38,39,40,41,41,43,43,44,44,44,43,45,44,44,43,44,44,44
Africa,319,326,329,341,353,364,386,403,409,422,445,462,490,512,544,564,590,615,624,629,675,699,728,748,770,791,804
Algeria,17,19,19,21,21,21,22,23,25,27,28,29,30,32,33,36,38,40,43,41,48,56,62,65,71,76,78
Egypt,42,44,46,48,49,52,55,58,63,68,78,83,89,95,101,109,115,125,131,139,147,157,164,168,172,183,190
Nigeria,13,14,15,15,16,16,16,16,15,16,15,15,22,20,24,24,23,23,21,20,26,27,29,29,30,33,30
South Africa,167,168,168,175,182,187,202,210,205,203,211,210,221,234,245,245,254,263,258,250,260,263,258,256,253,248,250
Middle-East,244,246,280,309,330,346,366,390,421,445,472,500,533,564,599,646,690,732,786,818,892,916,957,988,"1,051","1,089","1,132"
Iran,59,64,69,76,82,85,91,98,103,113,121,130,141,154,167,178,193,204,215,221,233,240,254,262,275,282,290
Kuwait,18,11,17,20,23,24,25,27,30,32,32,34,36,40,41,44,48,49,52,53,57,57,63,61,65,68,71
Saudi Arabia,69,74,82,91,94,98,101,108,115,119,126,134,142,153,160,176,181,191,204,217,240,250,272,284,312,325,327
United Arab Emirates,17,17,19,22,24,25,27,28,33,37,40,43,47,49,52,61,67,76,86,91,98,99,103,106,110,117,132
