Region,Source,Year,Data,Unit
MB,Hydro,2005,36439.655,GWh
MB,Hydro,2006,33650.538,GWh
MB,Hydro,2007,33513.217,GWh
MB,Hydro,2008,34588.464,GWh
MB,Hydro,2009,33549.054,GWh
MB,Hydro,2010,33268.922,GWh
MB,Hydro,2011,34206.29,GWh
MB,Hydro,2012,32185.436,GWh
MB,Hydro,2013,35337.165,GWh
MB,Hydro,2014,34494.874,GWh
MB,Hydro,2015,34694.2011,GWh
ON,Hydro,2005,35479.841,GWh
ON,Hydro,2006,36032.181,GWh
ON,Hydro,2007,34315.288,GWh
ON,Hydro,2008,39615.428,GWh
ON,Hydro,2009,39684.506,GWh
ON,Hydro,2010,32555.293,GWh
ON,Hydro,2011,34907.286,GWh
ON,Hydro,2012,33887.136,GWh
ON,Hydro,2013,37936.088,GWh
ON,Hydro,2014,39199.464,GWh
