pr,	Year, Month, Country, ISO3, ISO2
66.3263,1916,7,USA,,
62.9979,1916,8,USA,,
50.5026,1916,9,USA,,
50.5087,1916,10,USA,,
34.2268,1916,11,USA,,
47.4031,1916,12,USA,,
44.347,1917,1,USA,,
37.1641,1917,2,USA,,
48.535,1917,3,USA,,
50.3577,1917,4,USA,,
53.4756,1917,5,USA,,
58.797,1917,6,USA,,
63.8011,1917,7,USA,,
61.3823,1917,8,USA,,
50.4745,1917,9,USA,,
35.4156,1917,10,USA,,
23.9794,1917,11,USA,,
31.7994,1917,12,USA,,
47.7236,1918,1,USA,,
37.7649,1918,2,USA,,
39.8788,1918,3,USA,,
56.211,1918,4,USA,,
55.8556,1918,5,USA,,
52.1914,1918,6,USA,,
55.1925,1918,7,USA,,
64.4855,1918,8,USA,,
58.2166,1918,9,USA,,
60.5893,1918,10,USA,,
48.0941,1918,11,USA,,
56.3432,1918,12,USA,,
38.4583,1919,1,USA,,
49.3767,1919,2,USA,,
51.1667,1919,3,USA,,
47.6789,1919,4,USA,,
65.2926,1919,5,USA,,
62.8061,1919,6,USA,,
72.179,1919,7,USA,,
58.9176,1919,8,USA,,
56.0292,1919,9,USA,,
72.571,1919,10,USA,,
57.9749,1919,11,USA,,
40.5757,1919,12,USA,,
44.2134,1920,1,USA,,
35.6969,1920,2,USA,,
55.4929,1920,3,USA,,
62.0683,1920,4,USA,,
54.4984,1920,5,USA,,
63.2218,1920,6,USA,,
61.7819,1920,7,USA,,
77.5987,1920,8,USA,,
54.7204,1920,9,USA,,
47.129,1920,10,USA,,
46.7671,1920,11,USA,,
55.0433,1920,12,USA,,
43.6624,1921,1,USA,,
37.4403,1921,2,USA,,
54.3369,1921,3,USA,,
54.0151,1921,4,USA,,
53.8493,1921,5,USA,,
59.6009,1921,6,USA,,
65.2623,1921,7,USA,,
64.9205,1921,8,USA,,
58.3788,1921,9,USA,,
36.1065,1921,10,USA,,
46.5318,1921,11,USA,,
47.9949,1921,12,USA,,
41.9882,1922,1,USA,,
48.5782,1922,2,USA,,
65.4528,1922,3,USA,,
61.1904,1922,4,USA,,
61.1169,1922,5,USA,,
59.8774,1922,6,USA,,
80.2128,1922,7,USA,,
56.9485,1922,8,USA,,
38.8988,1922,9,USA,,
41.7857,1922,10,USA,,
46.4971,1922,11,USA,,
51.9753,1922,12,USA,,
48.8494,1923,1,USA,,
39.2229,1923,2,USA,,
51.8945,1923,3,USA,,
54.5732,1923,4,USA,,
61.7782,1923,5,USA,,
70.7528,1923,6,USA,,
61.3179,1923,7,USA,,
63.5882,1923,8,USA,,
71.2136,1923,9,USA,,
52.0626,1923,10,USA,,
40.945,1923,11,USA,,
57.0109,1923,12,USA,,
42.6164,1924,1,USA,,
38.3143,1924,2,USA,,
47.0173,1924,3,USA,,
47.5834,1924,4,USA,,
50.2851,1924,5,USA,,
61.3021,1924,6,USA,,
61.862,1924,7,USA,,
60.7277,1924,8,USA,,
65.9347,1924,9,USA,,
37.1181,1924,10,USA,,
31.1528,1924,11,USA,,
52.5315,1924,12,USA,,
42.9858,1925,1,USA,,
35.0011,1925,2,USA,,
35.872,1925,3,USA,,
41.2674,1925,4,USA,,
39.9919,1925,5,USA,,
64.8587,1925,6,USA,,
63.8043,1925,7,USA,,
53.4039,1925,8,USA,,
74.7158,1925,9,USA,,
63.4436,1925,10,USA,,
49.0143,1925,11,USA,,
35.9871,1925,12,USA,,
48.182,1926,1,USA,,
41.1152,1926,2,USA,,
46.7218,1926,3,USA,,
43.9719,1926,4,USA,,
47.324,1926,5,USA,,
52.9809,1926,6,USA,,
66.6581,1926,7,USA,,
70.0477,1926,8,USA,,
74.8935,1926,9,USA,,
56.4944,1926,10,USA,,
55.4167,1926,11,USA,,
55.0561,1926,12,USA,,
36.2387,1927,1,USA,,
52.1265,1927,2,USA,,
52.352,1927,3,USA,,
58.2402,1927,4,USA,,
60.3953,1927,5,USA,,
67.1594,1927,6,USA,,
66.3471,1927,7,USA,,
65.0638,1927,8,USA,,
57.6152,1927,9,USA,,
51.558,1927,10,USA,,
52.617,1927,11,USA,,
55.5483,1927,12,USA,,
29.5595,1928,1,USA,,
40.2779,1928,2,USA,,
46.8403,1928,3,USA,,
54.238,1928,4,USA,,
48.2737,1928,5,USA,,
88.1481,1928,6,USA,,
75.6898,1928,7,USA,,
74.6312,1928,8,USA,,
57.7417,1928,9,USA,,
49.2115,1928,10,USA,,
46.3569,1928,11,USA,,
38.4243,1928,12,USA,,
51.1539,1929,1,USA,,
44.0186,1929,2,USA,,
56.6571,1929,3,USA,,
58.7095,1929,4,USA,,
69.5659,1929,5,USA,,
59.0998,1929,6,USA,,
64.362,1929,7,USA,,
48.6555,1929,8,USA,,
65.7048,1929,9,USA,,
57.2872,1929,10,USA,,
44.8571,1929,11,USA,,
43.5755,1929,12,USA,,
50.9694,1930,1,USA,,
35.6631,1930,2,USA,,
44.0924,1930,3,USA,,
36.691,1930,4,USA,,
63.2956,1930,5,USA,,
54.3975,1930,6,USA,,
51.2977,1930,7,USA,,
58.9335,1930,8,USA,,
56.9912,1930,9,USA,,
49.6262,1930,10,USA,,
48.2188,1930,11,USA,,
32.1477,1930,12,USA,,
32.318,1931,1,USA,,
37.8499,1931,2,USA,,
44.7321,1931,3,USA,,
40.2684,1931,4,USA,,
49.3837,1931,5,USA,,
51.0534,1931,6,USA,,
66.0534,1931,7,USA,,
65.0936,1931,8,USA,,
52.5222,1931,9,USA,,
46.8722,1931,10,USA,,
55.0532,1931,11,USA,,
67.7481,1931,12,USA,,
65.7689,1932,1,USA,,
45.7411,1932,2,USA,,
45.0583,1932,3,USA,,
40.4879,1932,4,USA,,
49.7021,1932,5,USA,,
68.9131,1932,6,USA,,
63.2313,1932,7,USA,,
73.265,1932,8,USA,,
54.7901,1932,9,USA,,
55.1865,1932,10,USA,,
40.4896,1932,11,USA,,
56.7018,1932,12,USA,,
47.0276,1933,1,USA,,
39.3801,1933,2,USA,,
49.9123,1933,3,USA,,
49.7722,1933,4,USA,,
69.2567,1933,5,USA,,
38.719,1933,6,USA,,
58.6852,1933,7,USA,,
66.4267,1933,8,USA,,
53.4535,1933,9,USA,,
37.3062,1933,10,USA,,
29.3942,1933,11,USA,,
47.8594,1933,12,USA,,
37.1987,1934,1,USA,,
33.5243,1934,2,USA,,
45.7535,1934,3,USA,,
37.0206,1934,4,USA,,
37.048,1934,5,USA,,
55.094,1934,6,USA,,
50.9521,1934,7,USA,,
55.5255,1934,8,USA,,
62.9731,1934,9,USA,,
41.1855,1934,10,USA,,
56.9822,1934,11,USA,,
44.0839,1934,12,USA,,
50.7782,1935,1,USA,,
38.5858,1935,2,USA,,
56.9059,1935,3,USA,,
51.9943,1935,4,USA,,
72.0516,1935,5,USA,,
65.4859,1935,6,USA,,
61.6879,1935,7,USA,,
61.0645,1935,8,USA,,
55.7002,1935,9,USA,,
41.8086,1935,10,USA,,
46.7172,1935,11,USA,,
37.5701,1935,12,USA,,
55.1953,1936,1,USA,,
50.9993,1936,2,USA,,
45.3544,1936,3,USA,,
39.2003,1936,4,USA,,
45.9521,1936,5,USA,,
42.8828,1936,6,USA,,
56.3135,1936,7,USA,,
57.1227,1936,8,USA,,
64.0028,1936,9,USA,,
