pr,	Year, Month, Country, ISO3, ISO2
56.8014,1978,9,USA,,
32.1961,1978,10,USA,,
54.94,1978,11,USA,,
56.1754,1978,12,USA,,
64.5055,1979,1,USA,,
47.7481,1979,2,USA,,
58.8338,1979,3,USA,,
61.8262,1979,4,USA,,
62.0598,1979,5,USA,,
60.0247,1979,6,USA,,
75.0283,1979,7,USA,,
68.6359,1979,8,USA,,
54.5788,1979,9,USA,,
50.6007,1979,10,USA,,
56.4869,1979,11,USA,,
40.172,1979,12,USA,,
53.8477,1980,1,USA,,
39.8746,1980,2,USA,,
65.0103,1980,3,USA,,
47.7554,1980,4,USA,,
60.6623,1980,5,USA,,
59.4325,1980,6,USA,,
55.925,1980,7,USA,,
64.2282,1980,8,USA,,
62.3516,1980,9,USA,,
44.0331,1980,10,USA,,
37.596,1980,11,USA,,
32.8471,1980,12,USA,,
24.7851,1981,1,USA,,
46.8502,1981,2,USA,,
44.4303,1981,3,USA,,
44.2904,1981,4,USA,,
69.1023,1981,5,USA,,
75.0873,1981,6,USA,,
78.9001,1981,7,USA,,
69.6769,1981,8,USA,,
47.9986,1981,9,USA,,
65.8729,1981,10,USA,,
44.346,1981,11,USA,,
47.1096,1981,12,USA,,
57.2176,1982,1,USA,,
42.6453,1982,2,USA,,
54.2661,1982,3,USA,,
49.4645,1982,4,USA,,
69.4853,1982,5,USA,,
73.3172,1982,6,USA,,
72.9644,1982,7,USA,,
61.2726,1982,8,USA,,
65.4445,1982,9,USA,,
53.8019,1982,10,USA,,
60.978,1982,11,USA,,
73.958,1982,12,USA,,
41.5242,1983,1,USA,,
49.8992,1983,2,USA,,
67.7777,1983,3,USA,,
66.2681,1983,4,USA,,
69.4808,1983,5,USA,,
62.6443,1983,6,USA,,
52.2238,1983,7,USA,,
64.402,1983,8,USA,,
55.0382,1983,9,USA,,
58.6189,1983,10,USA,,
76.1089,1983,11,USA,,
65.8267,1983,12,USA,,
31.4867,1984,1,USA,,
42.4072,1984,2,USA,,
53.1243,1984,3,USA,,
57.165,1984,4,USA,,
62.3084,1984,5,USA,,
65.0357,1984,6,USA,,
69.4197,1984,7,USA,,
64.475,1984,8,USA,,
43.0404,1984,9,USA,,
70.8121,1984,10,USA,,
54.962,1984,11,USA,,
55.6472,1984,12,USA,,
34.2573,1985,1,USA,,
43.6042,1985,2,USA,,
54.38,1985,3,USA,,
38.8431,1985,4,USA,,
54.7494,1985,5,USA,,
62.8106,1985,6,USA,,
59.4236,1985,7,USA,,
70.9052,1985,8,USA,,
75.2916,1985,9,USA,,
66.9191,1985,10,USA,,
71.7675,1985,11,USA,,
34.8134,1985,12,USA,,
32.1345,1986,1,USA,,
52.4319,1986,2,USA,,
39.493,1986,3,USA,,
44.9937,1986,4,USA,,
57.9664,1986,5,USA,,
65.3264,1986,6,USA,,
68.9679,1986,7,USA,,
69.2635,1986,8,USA,,
84.6268,1986,9,USA,,
61.9378,1986,10,USA,,
60.5564,1986,11,USA,,
43.8945,1986,12,USA,,
46.317,1987,1,USA,,
46.1898,1987,2,USA,,
50.9745,1987,3,USA,,
30.1266,1987,4,USA,,
66.1281,1987,5,USA,,
62.3023,1987,6,USA,,
68.243,1987,7,USA,,
62.9973,1987,8,USA,,
56.9571,1987,9,USA,,
30.905,1987,10,USA,,
55.5283,1987,11,USA,,
60.537,1987,12,USA,,
40.159,1988,1,USA,,
33.5925,1988,2,USA,,
42.6669,1988,3,USA,,
46.9884,1988,4,USA,,
47.5336,1988,5,USA,,
40.2972,1988,6,USA,,
60.9659,1988,7,USA,,
67.066,1988,8,USA,,
61.2511,1988,9,USA,,
35.6773,1988,10,USA,,
63.2807,1988,11,USA,,
39.9485,1988,12,USA,,
42.8026,1989,1,USA,,
43.3013,1989,2,USA,,
54.4641,1989,3,USA,,
38.0477,1989,4,USA,,
69.358,1989,5,USA,,
81.5283,1989,6,USA,,
68.9533,1989,7,USA,,
70.3098,1989,8,USA,,
66.277,1989,9,USA,,
44.6291,1989,10,USA,,
38.884,1989,11,USA,,
33.5797,1989,12,USA,,
56.0183,1990,1,USA,,
55.0666,1990,2,USA,,
57.2162,1990,3,USA,,
48.5297,1990,4,USA,,
75.5454,1990,5,USA,,
58.3364,1990,6,USA,,
71.7865,1990,7,USA,,
67.3301,1990,8,USA,,
56.8717,1990,9,USA,,
60.1428,1990,10,USA,,
45.8675,1990,11,USA,,
60.9985,1990,12,USA,,
45.2501,1991,1,USA,,
34.5711,1991,2,USA,,
68.595,1991,3,USA,,
63.5456,1991,4,USA,,
73.3747,1991,5,USA,,
60.212,1991,6,USA,,
64.8082,1991,7,USA,,
59.5409,1991,8,USA,,
58.4347,1991,9,USA,,
48.5126,1991,10,USA,,
52.4319,1991,11,USA,,
56.1145,1991,12,USA,,
43.7958,1992,1,USA,,
46.7883,1992,2,USA,,
51.6268,1992,3,USA,,
40.496,1992,4,USA,,
48.0371,1992,5,USA,,
73.5842,1992,6,USA,,
84.2029,1992,7,USA,,
69.7224,1992,8,USA,,
55.1799,1992,9,USA,,
37.1292,1992,10,USA,,
69.0711,1992,11,USA,,
58.9983,1992,12,USA,,
66.3605,1993,1,USA,,
44.4942,1993,2,USA,,
55.2914,1993,3,USA,,
55.1449,1993,4,USA,,
59.5504,1993,5,USA,,
78.2037,1993,6,USA,,
66.551,1993,7,USA,,
70.7022,1993,8,USA,,
70.0811,1993,9,USA,,
50.6273,1993,10,USA,,
49.7497,1993,11,USA,,
41.7792,1993,12,USA,,
46.539,1994,1,USA,,
41.8655,1994,2,USA,,
50.9986,1994,3,USA,,
55.1196,1994,4,USA,,
49.4501,1994,5,USA,,
64.665,1994,6,USA,,
71.1312,1994,7,USA,,
67.1373,1994,8,USA,,
50.7183,1994,9,USA,,
59.5041,1994,10,USA,,
63.4506,1994,11,USA,,
46.9965,1994,12,USA,,
59.9947,1995,1,USA,,
32.5575,1995,2,USA,,
56.1221,1995,3,USA,,
55.0627,1995,4,USA,,
81.3489,1995,5,USA,,
69.9705,1995,6,USA,,
65.7867,1995,7,USA,,
63.6841,1995,8,USA,,
51.7976,1995,9,USA,,
55.282,1995,10,USA,,
44.7085,1995,11,USA,,
43.5197,1995,12,USA,,
54.0489,1996,1,USA,,
43.3719,1996,2,USA,,
45.3865,1996,3,USA,,
49.1364,1996,4,USA,,
65.9297,1996,5,USA,,
64.2109,1996,6,USA,,
70.8722,1996,7,USA,,
63.1441,1996,8,USA,,
74.5662,1996,9,USA,,
51.7774,1996,10,USA,,
60.01,1996,11,USA,,
60.7588,1996,12,USA,,
56.1038,1997,1,USA,,
47.645,1997,2,USA,,
45.8641,1997,3,USA,,
55.5501,1997,4,USA,,
57.2011,1997,5,USA,,
70.5986,1997,6,USA,,
61.9219,1997,7,USA,,
69.3125,1997,8,USA,,
58.3263,1997,9,USA,,
51.6266,1997,10,USA,,
48.1161,1997,11,USA,,
46.5633,1997,12,USA,,
63.5793,1998,1,USA,,
60.9542,1998,2,USA,,
63.8306,1998,3,USA,,
51.4119,1998,4,USA,,
54.1662,1998,5,USA,,
75.9475,1998,6,USA,,
70.9062,1998,7,USA,,
67.3867,1998,8,USA,,
58.5052,1998,9,USA,,
63.0907,1998,10,USA,,
50.5918,1998,11,USA,,
41.6406,1998,12,USA,,
62.9249,1999,1,USA,,
36.9776,1999,2,USA,,
42.7326,1999,3,USA,,
57.1785,1999,4,USA,,
60.2869,1999,5,USA,,
74.5112,1999,6,USA,,
66.2094,1999,7,USA,,
59.1826,1999,8,USA,,
59.7506,1999,9,USA,,
37.4866,1999,10,USA,,
30.5232,1999,11,USA,,
39.0859,1999,12,USA,,
46.3311,2000,1,USA,,
43.449,2000,2,USA,,
49.1389,2000,3,USA,,
46.0134,2000,4,USA,,
54.9347,2000,5,USA,,
74.3651,2000,6,USA,,
62.4186,2000,7,USA,,
55.5782,2000,8,USA,,
56.6988,2000,9,USA,,
48.6086,2000,10,USA,,
56.9359,2000,11,USA,,
36.2179,2000,12,USA,,
41.0633,2001,1,USA,,
49.2409,2001,2,USA,,
50.0299,2001,3,USA,,
44.2982,2001,4,USA,,
56.7896,2001,5,USA,,
64.2349,2001,6,USA,,
70.9906,2001,7,USA,,
62.2129,2001,8,USA,,
55.556,2001,9,USA,,
48.8647,2001,10,USA,,
45.3348,2001,11,USA,,
46.4853,2001,12,USA,,
42.9196,2002,1,USA,,
28.0412,2002,2,USA,,
50.1535,2002,3,USA,,
47.087,2002,4,USA,,
54.9107,2002,5,USA,,
56.3738,2002,6,USA,,
60.9653,2002,7,USA,,
62.363,2002,8,USA,,
65.9608,2002,9,USA,,
63.6295,2002,10,USA,,
39.5094,2002,11,USA,,
57.3101,2002,12,USA,,
27.4009,2003,1,USA,,
51.7026,2003,2,USA,,
47.4735,2003,3,USA,,
51.2849,2003,4,USA,,
67.405,2003,5,USA,,
73.5768,2003,6,USA,,
64.6967,2003,7,USA,,
65.2745,2003,8,USA,,
61.624,2003,9,USA,,
40.8206,2003,10,USA,,
57.3789,2003,11,USA,,
50.5841,2003,12,USA,,
39.7067,2004,1,USA,,
47.2893,2004,2,USA,,
42.1236,2004,3,USA,,
48.6749,2004,4,USA,,
70.994,2004,5,USA,,
72.3446,2004,6,USA,,
68.7976,2004,7,USA,,
64.2339,2004,8,USA,,
69.2308,2004,9,USA,,
64.2643,2004,10,USA,,
64.8535,2004,11,USA,,
48.9118,2004,12,USA,,
56.0341,2005,1,USA,,
43.4318,2005,2,USA,,
46.1407,2005,3,USA,,
49.2861,2005,4,USA,,
57.4369,2005,5,USA,,
68.9126,2005,6,USA,,
63.1045,2005,7,USA,,
69.5326,2005,8,USA,,
57.5573,2005,9,USA,,
50.3932,2005,10,USA,,
48.8695,2005,11,USA,,
47.7884,2005,12,USA,,
50.3526,2006,1,USA,,
32.926,2006,2,USA,,
46.9045,2006,3,USA,,
52.8537,2006,4,USA,,
48.0846,2006,5,USA,,
60.0958,2006,6,USA,,
59.9345,2006,7,USA,,
70.9135,2006,8,USA,,
63.4016,2006,9,USA,,
63.2713,2006,10,USA,,
47.2023,2006,11,USA,,
52.0679,2006,12,USA,,
46.3883,2007,1,USA,,
33.976,2007,2,USA,,
46.0611,2007,3,USA,,
48.4032,2007,4,USA,,
56.1475,2007,5,USA,,
62.4014,2007,6,USA,,
66.7481,2007,7,USA,,
59.5767,2007,8,USA,,
57.154,2007,9,USA,,
58.9571,2007,10,USA,,
32.4459,2007,11,USA,,
58.9893,2007,12,USA,,
46.1214,2008,1,USA,,
49.7277,2008,2,USA,,
50.2631,2008,3,USA,,
54.2075,2008,4,USA,,
60.2535,2008,5,USA,,
70.2924,2008,6,USA,,
72.6509,2008,7,USA,,
63.57,2008,8,USA,,
60.9778,2008,9,USA,,
48.6634,2008,10,USA,,
42.1148,2008,11,USA,,
58.1774,2008,12,USA,,
37.7718,2009,1,USA,,
36.2683,2009,2,USA,,
56.0125,2009,3,USA,,
55.3039,2009,4,USA,,
63.3972,2009,5,USA,,
64.9941,2009,6,USA,,
67.3967,2009,7,USA,,
66.8052,2009,8,USA,,
54.6329,2009,9,USA,,
85.0112,2009,10,USA,,
34.9198,2009,11,USA,,
57.9742,2009,12,USA,,
50.0241,2010,1,USA,,
39.5081,2010,2,USA,,
44.5897,2010,3,USA,,
45.7305,2010,4,USA,,
63.7383,2010,5,USA,,
78.9699,2010,6,USA,,
79.3401,2010,7,USA,,
61.0851,2010,8,USA,,
63.0522,2010,9,USA,,
43.1578,2010,10,USA,,
50.0691,2010,11,USA,,
48.4882,2010,12,USA,,
38.4286,2011,1,USA,,
47.7418,2011,2,USA,,
55.1848,2011,3,USA,,
62.1183,2011,4,USA,,
68.6179,2011,5,USA,,
62.1485,2011,6,USA,,
65.3297,2011,7,USA,,
64.0022,2011,8,USA,,
57.7688,2011,9,USA,,
49.0825,2011,10,USA,,
55.1938,2011,11,USA,,
52.3624,2011,12,USA,,
46.1864,2012,1,USA,,
41.7129,2012,2,USA,,
55.118,2012,3,USA,,
47.6245,2012,4,USA,,
53.8075,2012,5,USA,,
55.2458,2012,6,USA,,
66.5096,2012,7,USA,,
60.8082,2012,8,USA,,
65.6802,2012,9,USA,,
51.3462,2012,10,USA,,
33.7364,2012,11,USA,,
57.3133,2012,12,USA,,
52.3099,2013,1,USA,,
43.1898,2013,2,USA,,
37.0164,2013,3,USA,,
60.3789,2013,4,USA,,
75.6272,2013,5,USA,,
75.5614,2013,6,USA,,
74.0633,2013,7,USA,,
61.8915,2013,8,USA,,
72.7194,2013,9,USA,,
59.1606,2013,10,USA,,
47.5228,2013,11,USA,,
50.7346,2013,12,USA,,
36.2645,2014,1,USA,,
44.3825,2014,2,USA,,
46.7482,2014,3,USA,,
61.0028,2014,4,USA,,
58.0433,2014,5,USA,,
85.1186,2014,6,USA,,
68.2143,2014,7,USA,,
74.2447,2014,8,USA,,
63.0962,2014,9,USA,,
51.8328,2014,10,USA,,
44.4668,2014,11,USA,,
55.9687,2014,12,USA,,
42.3249,2015,1,USA,,
39.5467,2015,2,USA,,
42.578,2015,3,USA,,
60.9151,2015,4,USA,,
81.9923,2015,5,USA,,
75.5629,2015,6,USA,,
78.8892,2015,7,USA,,
69.3357,2015,8,USA,,
61.207,2015,9,USA,,
62.7919,2015,10,USA,,
74.2731,2015,11,USA,,
75.7757,2015,12,USA,,
