tas,	Year, Month, Country, ISO3, ISO2
-4.9055,1916,2,USA,,
-0.6991,1916,3,USA,,
6.01821,1916,4,USA,,
11.4954,1916,5,USA,,
16.0814,1916,6,USA,,
20.1801,1916,7,USA,,
18.7214,1916,8,USA,,
14.0576,1916,9,USA,,
7.47784,1916,10,USA,,
-0.3871,1916,11,USA,,
-7.0251,1916,12,USA,,
-8.005,1917,1,USA,,
-5.4427,1917,2,USA,,
-1.0399,1917,3,USA,,
4.85285,1917,4,USA,,
9.82425,1917,5,USA,,
16.2155,1917,6,USA,,
20.0138,1917,7,USA,,
18.4776,1917,8,USA,,
14.2659,1917,9,USA,,
6.29112,1917,10,USA,,
0.06941,1917,11,USA,,
-7.3262,1917,12,USA,,
-8.7114,1918,1,USA,,
-4.4682,1918,2,USA,,
0.87539,1918,3,USA,,
4.56562,1918,4,USA,,
11.8974,1918,5,USA,,
17.9468,1918,6,USA,,
19.5367,1918,7,USA,,
18.8331,1918,8,USA,,
13.5244,1918,9,USA,,
8.64538,1918,10,USA,,
-0.7949,1918,11,USA,,
-3.8752,1918,12,USA,,
-5.6678,1919,1,USA,,
-4.4272,1919,2,USA,,
-0.5347,1919,3,USA,,
6.05904,1919,4,USA,,
11.96,1919,5,USA,,
17.1308,1919,6,USA,,
20.2596,1919,7,USA,,
19.1031,1919,8,USA,,
15.1384,1919,9,USA,,
7.27308,1919,10,USA,,
-1.0336,1919,11,USA,,
-6.3296,1919,12,USA,,
-7.0752,1920,1,USA,,
-3.1362,1920,2,USA,,
-0.9066,1920,3,USA,,
3.28196,1920,4,USA,,
11.1761,1920,5,USA,,
16.5023,1920,6,USA,,
19.299,1920,7,USA,,
18.0487,1920,8,USA,,
14.5697,1920,9,USA,,
7.92942,1920,10,USA,,
-0.2881,1920,11,USA,,
-4.3142,1920,12,USA,,
-5.0174,1921,1,USA,,
-3.3217,1921,2,USA,,
2.21524,1921,3,USA,,
5.70303,1921,4,USA,,
11.8349,1921,5,USA,,
17.9165,1921,6,USA,,
20.3743,1921,7,USA,,
18.9567,1921,8,USA,,
14.9178,1921,9,USA,,
8.45225,1921,10,USA,,
1.07435,1921,11,USA,,
-2.935,1921,12,USA,,
-6.6778,1922,1,USA,,
-4.9697,1922,2,USA,,
-1.0193,1922,3,USA,,
5.57681,1922,4,USA,,
11.9089,1922,5,USA,,
17.4737,1922,6,USA,,
19.2805,1922,7,USA,,
18.9149,1922,8,USA,,
15.2273,1922,9,USA,,
8.67419,1922,10,USA,,
0.56006,1922,11,USA,,
-3.9737,1922,12,USA,,
-4.5028,1923,1,USA,,
-5.2929,1923,2,USA,,
-1.6556,1923,3,USA,,
5.42519,1923,4,USA,,
11.8287,1923,5,USA,,
16.9839,1923,6,USA,,
20.1682,1923,7,USA,,
18.9654,1923,8,USA,,
14.7013,1923,9,USA,,
7.69819,1923,10,USA,,
1.55482,1923,11,USA,,
-3.8797,1923,12,USA,,
-7.6254,1924,1,USA,,
-4.0317,1924,2,USA,,
-0.637,1924,3,USA,,
3.99841,1924,4,USA,,
10.9075,1924,5,USA,,
17.0102,1924,6,USA,,
18.8075,1924,7,USA,,
18.6269,1924,8,USA,,
13.4384,1924,9,USA,,
7.64519,1924,10,USA,,
1.37844,1924,11,USA,,
-6.6841,1924,12,USA,,
-7.8095,1925,1,USA,,
-3.2538,1925,2,USA,,
1.18788,1925,3,USA,,
7.55264,1925,4,USA,,
12.0675,1925,5,USA,,
17.6313,1925,6,USA,,
19.9969,1925,7,USA,,
18.8852,1925,8,USA,,
15.5021,1925,9,USA,,
6.83659,1925,10,USA,,
0.33378,1925,11,USA,,
-4.5745,1925,12,USA,,
-3.9733,1926,1,USA,,
-2.5519,1926,2,USA,,
0.47341,1926,3,USA,,
6.30026,1926,4,USA,,
12.5794,1926,5,USA,,
17.366,1926,6,USA,,
19.9096,1926,7,USA,,
19.1623,1926,8,USA,,
14.5882,1926,9,USA,,
8.85402,1926,10,USA,,
0.99962,1926,11,USA,,
-5.4567,1926,12,USA,,
-4.7957,1927,1,USA,,
-2.2396,1927,2,USA,,
-0.3162,1927,3,USA,,
5.03841,1927,4,USA,,
11.6833,1927,5,USA,,
16.6624,1927,6,USA,,
19.7261,1927,7,USA,,
17.6822,1927,8,USA,,
